DAY,STOCK,BLOCKS,DEMAND
10,1455,78,1
11,1666,67,1
12,1254,57,1
14,1563,45,1
15,1674,89,1
10,1465,89,1
12,1646,76,1
15,1746,87,2
12,1435,78,2
16,1647,65,1
17,1242,45,1
17,1635,78,1
9,563,67,1
14,365,57,1
12,456,45,1
11,345,89,1
14,267,89,1
15,2675,76,1
10,2312,87,1
7,1234,56,1
11,2342,56,1
13,1234,67,1
14,2312,45,1
15,1253,76,1
12,1453,56,1
16,1345,45,1
17,1524,78,1
12,1536,76,1
14,1435,45,1
15,1425,67,1
17,1235,45,1
11,3211,65,1
16,234,45,1
12,254,56,1
10,256,78,2
9,1256,58,1
12,1356,56,1
11,1245,67,1
13,1532,65,1
15,244,67,1
16,344,57,1
17,2425,56,1
18,4523,45,1
19,2342,34,2
17,4432,24,2
16,2356,34,2
15,2345,23,1
14,6543,23,2
15,4325,12,2
16,5432,32,2
17,4432,43,2
17,4543,12,2
18,5432,32,2
19,2425,43,2
20,4523,12,2
21,2342,4,1
22,4432,5,1
23,2356,6,1
24,2345,4,1
25,6543,2,1
19,4325,6,1
18,5432,7,1
17,7653,34,2
16,3456,45,2
15,3456,3,2
16,6547,3,2
17,3543,34,1
18,4635,2,1
19,4675,3,2
16,6475,0,2
20,6789,2,2
21,6543,0,1
23,6543,4,2
24,9854,6,2
26,6783,9,2
20,6732,19,2
21,6543,0,2
23,6432,1,2
19,8643,0,2
15,8734,16,2
16,8734,6,2
15,8743,0,2
17,9432,1,2
18,7534,0,1
20,9453,0,2
19,6853,14,2
20,8743,0,2
21,8636,0,1
22,8367,1,2
24,9376,2,2
25,5879,3,2
22,4678,5,2
21,5678,20,2
24,5678,0,2
26,7876,3,2
27,5678,0,2
21,8976,23,2
24,7875,0,2
25,7857,0,2
